plz,is_dense
1067,1
4289,1
90602,1
90607,1
90610,1
90613,1
1069,1
4107,1
90614,1
90616,0
91353,1
1097,1
1099,1
1108,1
1109,1
4109,1
91355,0
1127,1
4299,1
91462,0
91463,0
1129,1
1139,1
1156,1
1157,1
21444,0
91465,0
91466,1
91468,0
91469,0
1159,1
1237,1
1169,1
4177,1
1187,1
4205,1
91471,0
91472,0
96224,0
96231,0
96237,0
96242,0
1189,1
45277,1
1217,1
4315,1
91486,0
91487,0
1219,1
4316,1
91592,0
91593,0
91595,0
91596,0
1239,1
1257,1
1259,1
1589,0
91598,0
91599,0
91601,0
91602,0
1277,1
1591,0
91604,0
91605,0
91607,0
91608,0
1279,1
1307,1
91610,0
91611,0
91613,0
91614,0
91616,0
1309,1
1612,0
91617,0
91619,0
91620,0
91622,0
91623,0
1324,1
1326,1
1328,1
1445,1
1454,1
1458,1
1465,1
1468,1
1471,1
67366,0
1477,1
1917,0
1920,0
1558,0
1561,0
1587,0
1936,1
1945,0
67686,0
91625,0
1594,0
91626,0
91628,0
1609,0
91629,0
91631,0
91632,0
91634,0
91635,0
1616,0
1968,0
91637,0
1619,0
1987,0
25578,0
91639,0
1623,0
1998,0
2625,0
2627,0
1640,1
2633,0
36469,0
91710,0
91717,0
1662,1
1665,1
1683,0
4207,1
91719,0
91720,0
91722,0
91723,0
1689,1
1705,1
1723,1
1728,1
1731,1
4209,1
25980,0
1734,1
1737,1
45476,1
1738,0
1744,0
1762,0
1768,0
1773,0
1774,1
1776,0
1778,0
1796,1
1809,1
1814,0
1816,1
1819,1
1824,1
1825,0
1829,1
1833,1
1844,0
1847,1
1848,0
1855,0
1877,0
91725,0
91726,0
91728,0
91729,0
1896,0
63505,1
91731,0
91732,0
1900,1
27749,1
1904,0
38553,0
91734,0
1906,0
4229,1
91735,0
91737,0
91738,0
91740,0
91741,0
91743,0
1909,0
28359,1
1979,0
1983,0
65344,1
91744,0
91746,0
91747,0
1990,0
1993,0
1994,0
1996,0
91749,0
91757,0
91781,0
91785,0
91788,0
2681,0
2689,0
4317,1
91790,0
91792,0
91793,0
91795,0
91796,0
91798,0
91799,0
2699,0
2708,0
4318,1
91809,0
92224,0
2727,0
2733,0
65345,1
92237,0
2730,0
4357,1
4416,1
92242,0
2736,0
3197,0
2739,0
2747,0
2742,0
3205,0
92245,0
92249,0
92253,0
2748,0
2763,0
2794,0
92256,0
92259,0
92260,0
92262,0
92263,0
92265,0
92266,0
2779,0
2943,0
2953,0
3246,0
2782,0
2785,0
38473,0
2788,0
2791,0
2796,0
4827,1
92268,0
92269,0
92271,0
2797,0
92272,0
2799,0
2826,0
92274,0
92275,0
92277,0
92278,0
2827,0
8239,1
8248,0
2828,0
2829,0
3249,0
2894,0
8258,0
66503,0
2899,0
2906,0
92280,0
92281,0
92283,1
92284,0
92286,0
92287,0
92289,0
92318,1
2923,0
2929,0
2956,0
2957,0
2991,0
