lat,lon
49.550,8.654
49.558,8.669
50.001,9.069
48.692,11.612
48.692,11.612
50.854,12.072
48.966,8.404
48.997,8.361
49.042,8.443
49.036,8.435
49.045,8.395
51.020,13.722
48.994,8.337
53.095,8.850
50.122,8.600
49.000,8.339
53.533,9.879
53.579,10.046
51.376,12.412
49.711,8.703
49.718,8.715
48.125,11.655
49.638,8.451
49.606,11.138
49.769,11.057
48.111,11.628
51.446,7.062
52.982,8.842
49.785,9.932
48.465,11.863
50.004,8.266
53.581,7.797
53.586,7.770
53.568,7.784
53.573,7.764
53.585,7.771
53.585,7.771
53.578,7.781
50.160,8.688
50.168,8.680
51.561,12.991
54.368,11.084
49.011,8.358
49.014,8.255
53.813,10.740
53.847,10.681
49.954,11.596
50.151,8.691
51.560,7.091
50.353,7.590
52.684,9.614
51.610,7.181
48.434,11.844
49.051,8.263
50.145,8.650
48.997,8.458
53.841,10.709
53.841,10.711
51.427,7.145
48.531,9.080
49.702,10.881
49.703,10.882
50.189,8.699
50.632,8.680
51.344,9.445
50.621,8.659
51.312,9.472
49.365,11.030
51.440,7.120
52.442,9.699
52.438,9.705
52.399,9.737
52.037,8.552
52.154,11.638
50.204,8.702
50.149,8.657
50.126,8.738
48.614,9.809
50.141,8.648
47.643,7.728
49.540,8.709
50.783,6.125
52.336,14.081
50.716,7.045
49.706,11.070
51.896,6.987
51.894,6.989
51.894,6.990
49.975,8.805
48.817,9.300
52.077,8.753
48.995,8.389
50.981,6.286
48.714,8.905
50.612,10.708
51.666,8.726
51.866,7.373
51.963,7.646
49.534,8.567
49.693,10.942
53.482,9.159
53.485,9.150
53.481,9.140
54.622,13.291
54.620,13.287
49.045,8.383
50.941,7.008
53.492,9.130
51.202,6.718
50.908,6.361
48.007,7.818
51.886,6.919
52.510,13.407
50.048,8.678
49.503,8.500
52.275,10.520
52.267,10.523
52.267,10.523
47.996,7.837
48.811,9.164
48.811,9.165
52.271,10.508
49.715,6.790
53.487,9.141
52.269,9.764
53.483,9.146
49.011,8.398
52.119,7.096
50.921,6.357
52.123,7.099
49.054,8.392
47.505,10.370
52.263,9.764
48.184,11.274
52.068,7.011
52.120,7.107
50.196,8.703
51.215,6.777
52.078,7.010
53.562,7.913
49.453,11.073
49.984,8.821
49.520,8.555
48.848,9.127
52.674,8.256
51.123,6.895
48.174,11.263
47.848,12.349
53.164,9.961
47.942,9.647
47.996,9.656
48.065,11.665
48.065,11.653
48.051,11.671
50.736,7.095
54.388,10.383
47.631,7.618
50.222,8.777
52.923,9.235
48.850,8.210
52.440,9.726
52.572,13.312
52.566,13.317
52.570,13.321
50.970,11.061
48.829,9.122
52.259,10.506
47.848,12.090
53.578,9.707
48.218,11.665
48.225,11.671
51.199,11.945
47.652,9.483
52.336,9.761
53.585,9.724
53.585,9.726
52.162,11.654
52.150,11.640
52.388,9.738
52.382,9.745
53.157,8.201
53.150,8.202
53.578,9.706
49.483,8.306
51.003,13.794
52.340,9.764
52.339,9.766
52.380,9.740
48.059,11.634
50.998,6.206
52.286,10.456
52.357,9.755
52.304,10.518
52.304,10.517
51.100,13.655
51.108,13.630
51.113,13.613
51.118,13.599
51.215,7.012
50.103,11.440
50.105,11.424
50.105,11.434
50.112,11.449
50.237,8.750
50.233,8.756
52.380,9.737
52.542,7.863
48.063,11.677
48.190,11.643
52.369,9.750
50.087,8.761
48.268,12.159
52.190,8.690
49.005,8.394
53.688,8.571
48.211,12.135
52.446,10.781
51.778,13.141
52.491,13.323
49.879,10.920
48.774,9.172
48.770,9.159
50.946,6.922
51.494,11.970
53.607,10.412
53.607,10.414
52.263,10.544
53.863,10.655
53.872,10.665
50.151,8.663
52.179,7.042
48.521,9.044
52.435,9.756
48.639,9.617
50.893,14.674
51.447,6.633
50.565,8.507
53.875,10.678
48.515,9.565
48.831,9.123
49.987,9.083
48.173,12.830
49.548,8.664
48.730,9.112
52.141,10.306
52.166,10.332
52.157,10.348
48.522,9.057
47.956,9.381
49.659,9.946
49.142,7.055
48.775,9.186
53.233,8.776
53.232,8.778
52.424,9.834
52.374,9.706
51.438,9.931
48.414,9.946
50.140,11.243
50.140,11.242
50.174,8.523
50.173,8.529
50.179,8.511
50.175,8.524
50.163,8.534
51.713,8.767
51.868,10.031
50.139,8.654
51.566,12.972
50.134,8.671
48.130,11.367
48.138,11.373
50.584,8.479
50.151,8.549
52.527,13.540
52.303,13.255
49.286,8.138
53.546,10.094
53.554,10.087
53.552,10.095
53.542,10.106
52.669,8.259
48.958,10.922
48.067,11.380
53.253,10.409
50.133,8.626
50.753,7.095
53.077,8.883
53.076,8.883
50.632,7.225
49.310,12.829
51.028,13.655
50.884,6.104
52.401,13.057
52.596,13.334
51.369,12.339
48.066,11.382
49.361,11.051
52.339,9.833
51.838,10.768
54.113,12.138
49.289,8.678
49.295,8.701
48.840,9.227
48.011,7.855
48.721,11.169
53.509,10.186
49.339,9.121
49.342,9.126
49.340,9.123
49.293,8.700
49.593,10.970
53.139,8.107
54.338,10.133
48.166,11.728
48.166,11.731
49.826,10.744
48.380,11.259
54.310,9.637
52.876,9.063
49.523,8.490
53.164,7.349
53.169,7.349
53.244,10.402
52.431,7.746
53.472,9.831
49.360,8.982
48.802,9.817
53.070,8.890
53.080,8.894
53.080,8.893
48.076,11.658
53.250,10.425
50.161,8.645
51.591,12.591
51.593,12.594
48.539,11.513
48.531,11.532
51.353,12.460
53.150,8.239
50.992,10.315
49.274,11.449
49.290,11.459
49.292,11.476
50.887,14.666
53.063,8.870
50.107,8.587
53.160,8.169
53.557,13.250
53.156,8.703
48.275,11.827
48.944,8.575
50.160,8.551
50.888,14.800
51.392,6.797
54.330,10.091
50.499,9.692
51.364,6.778
