lat,lon
52.022,8.535
53.486,9.147
50.922,6.358
52.367,9.714
53.295,9.279
54.158,10.416
48.832,9.124
51.437,9.935
53.185,7.268
48.077,11.663
50.494,9.697
50.107,11.458
51.929,9.635
48.526,8.961
51.091,6.888
48.771,8.731
51.049,14.082
50.777,7.186
48.406,11.611
50.314,11.747
51.118,13.922
48.075,11.716
48.551,9.470
51.089,6.590
50.423,9.565
51.909,8.381
53.310,7.486
53.662,9.797
53.244,9.844
48.016,11.713
47.770,11.677
51.818,9.867
49.395,8.789
53.330,9.881
54.689,9.330
50.742,8.204
48.074,11.887
49.811,8.468
49.595,8.467
48.525,8.928
48.806,8.222
53.237,9.747
50.240,11.717
51.991,13.080
50.930,12.012
50.057,9.690
51.624,12.329
48.652,9.286
51.488,7.501
48.185,11.389
48.533,9.181
48.411,8.886
49.877,8.150
51.204,7.359
53.270,9.677
48.330,10.730
50.472,7.798
48.286,8.493
49.756,10.240
50.613,11.168
53.333,9.756
50.055,8.303
50.501,11.730
53.695,12.911
52.252,10.817
52.252,10.818
49.728,10.243
47.466,10.103
48.886,9.002
50.880,12.743
48.179,11.255
48.182,11.277
51.291,13.531
50.314,7.521
47.981,8.550
53.263,10.623
53.186,13.145
48.833,8.611
48.618,11.992
48.693,9.462
50.918,14.072
48.926,9.029
48.720,9.587
48.827,12.397
47.637,9.757
48.489,8.847
48.217,11.258
53.366,9.717
53.366,9.711
48.828,8.709
52.426,9.429
48.917,8.786
49.139,8.772
49.759,9.980
48.173,11.322
48.623,8.892
51.457,11.005
51.211,7.237
49.078,8.846
52.509,13.268
52.695,7.306
48.001,7.716
47.737,8.775
48.416,9.110
51.587,13.237
49.602,8.768
54.282,10.080
53.480,10.616
54.293,10.588
52.679,10.702
49.370,11.681
48.466,9.943
48.780,8.270
50.877,14.043
48.268,7.725
47.651,7.596
50.996,13.646
48.626,9.337
49.200,9.503
51.946,7.168
52.111,10.677
48.814,9.114
53.788,9.424
52.104,8.304
48.549,11.865
48.552,8.823
51.462,8.850
48.256,12.414
50.844,13.406
48.748,9.661
51.193,8.043
48.413,9.492
51.120,9.124
48.393,8.709
47.837,8.502
51.160,9.125
48.129,8.675
50.620,8.634
49.514,11.371
48.719,12.440
47.650,7.821
47.970,11.778
50.253,10.683
53.187,10.743
48.693,8.343
52.691,7.292
48.466,8.715
49.802,8.598
53.826,9.289
52.364,9.906
49.645,8.932
51.662,6.455
49.426,11.546
53.181,10.401
48.100,8.429
52.748,12.340
53.739,8.916
54.110,12.661
49.123,8.600
47.732,7.556
47.857,11.797
51.756,11.456
48.713,8.164
48.005,8.862
50.269,11.847
53.278,9.709
53.231,9.645
52.516,13.462
51.061,14.574
48.253,11.176
48.472,8.633
54.406,10.220
53.631,9.099
51.472,7.768
50.646,7.524
52.390,9.752
51.051,13.533
47.771,7.726
47.880,9.481
47.734,11.865
50.678,11.541
50.769,9.696
53.021,8.349
50.423,9.203
48.099,8.806
50.126,7.766
48.522,9.175
52.010,8.524
54.373,11.085
48.406,10.774
49.771,11.336
48.487,11.504
52.159,8.047
48.083,8.895
48.884,13.477
50.705,10.216
53.057,14.285
52.253,9.969
48.054,8.891
51.052,7.267
50.820,11.932
50.247,11.209
53.630,14.011
52.519,12.311
48.865,13.676
51.015,14.934
51.503,7.957
48.807,8.362
48.253,8.111
50.900,11.284
54.175,10.044
49.630,8.363
50.664,11.568
54.386,10.137
48.419,12.904
48.534,9.202
48.313,8.916
50.674,9.561
51.099,14.498
51.868,13.969
48.116,8.856
52.498,13.331
52.742,12.582
51.483,10.901
52.095,8.516
52.049,8.456
51.958,8.521
51.993,8.611
52.054,8.546
49.316,8.345
47.878,11.702
50.841,14.747
51.588,10.666
47.839,11.144
50.356,11.169
51.060,7.006
53.311,10.283
49.948,8.850
48.920,9.443
50.154,8.529
49.085,8.642
48.934,8.799
49.032,8.573
51.456,6.374
53.595,7.203
52.505,13.558
48.131,8.232
49.872,8.652
48.168,8.626
48.169,8.626
51.148,13.867
51.023,11.513
48.872,8.391
52.339,9.835
48.305,12.387
49.377,10.179
53.542,8.581
49.304,8.738
51.536,9.897
48.328,9.888
52.664,8.237
51.246,13.881
49.120,13.198
51.360,14.171
51.753,11.459
52.266,11.758
50.351,7.895
48.462,8.416
47.650,7.821
49.779,8.467
54.716,9.669
52.922,9.229
51.763,8.558
48.945,9.234
49.322,8.195
48.834,9.226
52.498,13.448
48.366,11.460
50.935,12.420
50.546,13.050
49.092,11.222
49.041,12.538
50.539,12.307
51.287,11.579
50.174,11.208
49.052,8.532
48.452,9.057
48.314,9.861
50.264,11.934
53.077,10.577
49.404,10.790
48.005,10.178
50.874,9.194
48.540,9.283
48.330,8.052
50.895,12.354
52.676,7.957
51.369,9.301
48.583,8.840
49.989,8.359
48.000,10.133
48.090,7.627
48.739,12.747
48.277,11.843
50.637,8.676
52.987,10.756
51.455,11.953
49.770,11.934
50.132,8.528
48.477,8.748
52.494,13.385
50.330,7.221
47.801,9.038
48.094,11.499
50.967,12.318
51.154,14.135
52.516,13.480
48.862,12.889
48.888,12.921
50.896,13.667
53.572,10.071
52.445,10.007
52.619,7.744
49.214,9.094
50.103,8.760
50.764,13.761
51.991,8.507
49.694,8.202
48.494,8.757
48.005,11.513
48.549,9.207
50.912,9.244
52.638,13.526
51.068,5.989
51.102,6.155
48.552,8.823
51.085,11.002
50.803,13.538
50.836,8.756
50.986,10.929
47.930,12.124
52.478,12.843
52.155,10.324
49.101,8.484
51.253,7.764
50.859,6.752
48.346,8.683
49.262,9.150
48.579,9.511
49.255,9.041
51.571,14.380
50.732,12.581
51.379,9.016
48.075,8.736
51.746,13.949
48.949,8.621
48.933,8.634
53.085,9.998
51.853,8.290
48.774,13.352
49.478,10.991
49.520,9.367
48.541,9.228
53.381,9.897
48.477,9.139
51.422,9.912
48.298,13.151
47.823,12.646
51.345,9.945
48.191,11.867
49.141,9.193
48.470,8.867
48.481,8.885
48.558,9.206
49.621,11.232
53.120,9.787
54.835,9.547
48.648,9.247
51.013,13.663
48.673,9.239
48.366,8.654
54.291,10.887
52.631,13.319
51.100,12.332
54.290,10.883
48.684,11.613
48.429,8.592
48.476,9.627
49.700,10.767
48.185,8.457
50.541,7.096
48.541,7.895
49.098,8.528
51.412,9.115
50.185,7.141
49.525,8.485
48.534,8.775
51.512,9.955
52.107,8.948
48.471,8.818
48.529,8.869
48.832,9.123
51.454,7.010
48.557,8.903
51.095,14.388
48.227,12.611
54.413,9.509
50.334,8.537
48.914,8.506
48.914,8.507
52.136,13.610
48.022,11.013
47.931,12.231
49.220,8.153
52.403,13.220
49.729,12.165
50.548,12.038
50.891,12.260
50.591,13.070
51.753,11.458
53.277,9.506
51.511,9.685
51.484,9.679
48.668,9.616
50.520,10.969
52.365,10.521
49.771,11.407
52.437,10.580
52.437,10.579
52.527,13.689
49.355,11.139
48.540,9.283
50.945,13.763
50.504,10.614
49.580,10.609
50.581,8.492
50.495,8.469
51.295,12.023
50.718,10.842
49.149,12.348
53.999,11.440
54.401,13.608
52.443,10.436
52.411,10.593
47.615,9.716
51.197,13.309
48.312,8.532
48.294,8.555
48.807,9.385
50.902,13.247
52.616,10.606
51.054,12.353
51.122,10.577
48.298,13.152
48.337,12.664
48.266,13.028
51.466,7.084
49.801,6.722
54.095,13.381
51.377,10.138
50.648,13.451
50.958,11.218
50.671,12.954
51.939,10.988
50.687,12.913
50.856,12.423
48.765,13.026
47.755,7.578
49.842,8.094
51.378,10.132
50.565,8.156
51.069,12.436
48.500,11.950
49.985,10.851
53.170,9.481
51.565,12.927
52.983,8.836
50.735,7.103
48.061,12.233
51.340,12.375
49.052,8.380
49.099,8.391
47.657,9.454
48.228,11.674
48.148,11.730
48.831,9.175
48.807,9.321
48.065,11.665
48.805,9.215
50.938,6.959
48.830,9.121
51.511,7.465
50.553,8.497
52.116,8.670
48.808,8.948
48.798,9.014
48.177,11.754
48.705,9.662
48.853,9.090
53.581,9.704
51.141,6.277
48.798,9.062
47.514,10.281
52.263,10.517
51.577,7.058
49.477,10.989
48.459,11.131
51.226,6.771
49.915,8.342
48.369,10.899
49.871,8.337
53.460,9.979
48.758,9.255
53.456,7.837
48.046,11.615
50.961,7.004
48.387,7.817
49.987,8.667
50.762,10.156
48.493,8.809
47.632,7.595
50.740,7.120
48.491,9.211
48.243,9.092
52.392,13.500
49.002,9.501
49.621,10.833
52.521,13.423
52.373,13.621
51.029,13.707
51.808,8.428
48.660,9.064
49.947,11.576
49.802,10.160
51.525,6.925
48.459,10.980
51.056,13.688
51.771,7.442
47.702,10.860
51.761,7.887
53.651,9.830
